num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
449	1231.540560	0.000000	41.773449	2.020254	0.333398
451	1233.618369	0.000000	42.173322	2.020268	0.383367
453	1235.675429	0.000000	41.672702	2.019589	0.340515
455	1237.756213	0.000000	41.944040	2.019633	0.305753
457	1239.833712	0.000000	41.861535	2.019607	0.216481
459	1241.905801	0.000000	41.729224	2.019561	0.342172
461	1243.992408	0.000000	41.677775	2.019315	0.398193
463	1246.061171	0.000000	41.674610	2.019218	0.328752
465	1248.137220	0.000000	41.584037	2.019143	0.349561
467	1250.216763	0.000000	41.505933	2.018800	0.367142
469	1252.281742	0.000000	41.635269	2.018832	0.354068
471	1254.359146	0.000000	41.320253	2.019351	0.358362
473	1256.445498	0.000000	41.572020	2.018766	0.365934
475	1258.518076	0.000000	41.499922	2.018783	0.351604
477	1260.584159	0.000000	41.377497	2.018386	0.337227
479	1262.662399	0.000000	41.245886	2.018484	0.347953
481	1264.733142	0.000000	41.222058	2.017911	0.339628
483	1266.796634	0.000000	41.173783	2.017553	0.346785
485	1268.882102	0.000000	41.146736	2.017844	0.394009
487	1270.954631	0.000000	41.094634	2.017396	0.369656
489	1273.041318	0.000000	41.140421	2.017325	0.324974
491	1275.108103	0.000000	40.777602	2.018715	0.398910
493	1277.183343	0.000000	40.958768	2.017063	0.405915
495	1279.250897	0.000000	41.035790	2.016906	0.366992
497	1281.333165	0.632011	39.553742	2.004189	0.399835
499	1283.405146	0.000000	40.842494	2.017504	0.361074
501	1285.475864	0.000000	40.795382	2.017393	0.414989
503	1287.553319	0.737865	39.405321	2.004367	0.383741
505	1289.634038	0.000000	40.667537	2.017170	0.409132
507	1291.712117	0.808722	39.440506	2.005837	0.453409
509	1293.783867	0.000000	40.099463	1.993306	0.383052
511	1295.849430	0.000000	40.604338	2.017253	0.341104
513	1297.922249	0.000000	40.387615	2.016952	0.398587
515	1299.998282	0.000000	40.627472	2.016542	0.395084
517	1302.080569	0.000000	40.423226	2.017125	0.380607
519	1304.151276	0.000000	40.325906	2.017244	0.423436
521	1306.222998	0.012389	40.402155	2.017325	0.456568
523	1308.299333	0.064923	40.314253	2.017399	0.416282
525	1310.377134	0.079450	40.269490	2.017558	0.397557
